"模型","极限分数","中位分数","中位差距","变更","平均耗时(秒)","Token","测试成本(元)","价格(元/百万)","发布时间","Think"
"GPT-5.5 (xhigh)","83.80","77.46","7.57%","+3.4%","494","30811","¥178.58","¥207.00","26-04-24","1"
"Kimi-K3 (max)","82.91","74.80","9.78%","+32.6%","1095","39912","¥117.34","¥105.00","26-07-16","1"
"GPT-5.6 Sol (xhigh)","81.94","72.99","10.92%","-","369","17433","¥101.04","¥207.00","26-07-10","1"
"Qwen3.7-Max (xhigh)","74.56","66.95","10.21%","+37.8%","374","54207","¥54.64","¥36.00","26-05-21","1"
"Claude Opus 4.8 (xhigh)","82.62","66.70","19.27%","+9.9%","791","41833","¥202.05","¥172.50","26-05-29","1"
"Gemini 3.5 Flash (high)","65.92","60.39","8.39%","-","188","36372","¥63.24","¥62.10","26-05-20","1"
"Gemini 3.1 Pro (high)","73.36","58.46","20.31%","+5.8%","214","25905","¥60.06","¥82.80","26-02-19","1"
"GLM-5.2 (max)","73.68","58.27","20.91%","+29.2%","890","45683","¥35.82","¥28.00","26-06-14","1"
"Muse Spark 1.1","66.18","57.23","13.52%","-","542","42416","¥34.83","¥29.33","26-07-16","1"
"Grok 4.5 (high)","67.59","56.72","16.08%","+202%","451","43372","¥50.28","¥41.40","26-07-09","1"
"GPT-5.6 Luna (xhigh)","69.49","51.97","25.21%","-","242","38083","¥44.15","¥41.40","26-07-10","1"
"DeepSeek V4 Pro (max)","68.00","49.97","26.51%","-","1468","60558","¥10.17","¥6.00","26-04-24","1"
"Doubao-Seed-2.1-pro  (high)","58.69","49.35","15.91%","+7.7%","2003","85059","¥71.45","¥30.00","26-06-23","1"
"Tencent Hy3 (high)","54.42","44.60","18.04%","+23.2%","1035","52037","¥5.83","¥4.00","26-07-06","1"
"Qwen3.7-Plus (high)","58.50","44.09","24.63%","+24.9%","1237","57152","¥12.80","¥8.00","26-06-02","1"
"Claude Sonnet 5 (xhigh)","51.37","43.14","16.02%","-","529","44118","¥85.24","¥69.00","26-07-01","1"
"MiniMax-M3","49.18","40.94","16.75%","+33.3%","985","56467","¥13.28","¥8.40","26-06-01","1"
"DeepSeek V4 Flash (max)","50.62","36.24","28.41%","-","611","49593","¥2.78","¥2.00","26-04-24","1"
"Doubao-Seed-2.0-lite 0428  (high)","35.32","26.77","24.21%","-","656","26726","¥2.69","¥3.60","26-05-07","1"
"Claude Opus 4.6","36.88","25.79","30.07%","+42.5%","65","4387","¥21.19","¥172.50","26-02-06","0"
"Gemini 3.5 Flash (minimal)","33.24","22.22","33.15%","+64.8%","44","6189","¥10.76","¥62.10","26-05-20","1"
"Gemma 4 31B","27.91","22.04","21.03%","-","770","15050","¥1.16","¥2.76","26-04-03","1"
"Qwen3.7-Max","22.45","18.53","17.46%","-","196","6710","¥6.76","¥36.00","26-05-21","0"
"Qwen3.5-27B","24.96","17.98","27.96%","-","451","26391","¥3.55","¥4.80","26-02-25","1"
"GPT-5.5 Instant","28.87","17.66","38.83%","-","25","1673","¥9.70","¥207.00","26-05-06","0"
"Qwen3.7-Plus","26.19","16.23","38.03%","-","314","8692","¥1.95","¥8.00","26-06-02","0"
"ERNIE 5.1","20.49","15.49","24.40%","+2.4%","457","24093","¥12.14","¥18.00","26-05-09","1"
"Gemini 3.1 Flash Lite (high)","23.78","14.30","39.87%","-","82","28351","¥8.22","¥10.35","26-03-03","1"
"Mistral Medium 3.5","18.44","13.87","24.78%","-","194","27854","¥40.36","¥51.75","26-04-30","1"
"Step-3.7-Flash","26.18","13.74","47.52%","-","258","44912","¥10.19","¥8.10","26-05-29","1"
"DeepSeek V4 Flash","19.39","13.37","31.05%","-","63","5286","¥0.30","¥2.00","26-04-24","0"
"MiMo-V2.5-Pro","26.91","13.00","51.69%","+18.9%","478","29443","¥4.95","¥6.00","26-04-23","1"
"Claude Sonnet 5","23.64","10.86","54.06%","+21%","109","5962","¥11.52","¥69.00","26-07-01","0"
"openPangu-2.0-Flash","19.83","10.76","45.74%","-","571","28199","¥1.26","¥1.60","26-06-30","1"
"GLM-5.2","14.80","10.43","29.53%","-23.4%","23","953","¥0.75","¥28.00","26-06-14","0"
"Gemini 3.1 Flash Lite","11.79","10.28","12.81%","-","9","773","¥0.22","¥10.35","26-03-03","0"
"LongCat-2.0","19.40","9.74","49.79%","-","395","14886","¥3.33","¥8.00","26-06-30","1"
"Doubao-Seed-2.1-pro","17.49","9.74","44.31%","-","305","6009","¥5.05","¥30.00","26-06-23","0"
"Ling-2.6-1T","13.05","8.39","35.71%","-","229","4770","¥2.14","¥16.00","26-04-23","0"
"Mistral Medium 3.5","10.83","7.13","34.16%","-","17","2546","¥3.69","¥51.75","26-04-30","0"
"讯飞星火X2","12.39","6.21","49.88%","-","458","11285","¥0.63","¥2.00","26-02-11","1"
"Ling-2.6-flash","10.07","4.85","51.84%","+15.2%","25","4997","¥0.29","¥2.07","26-04-22","0"
